location,total_sqft,bath,price,rooms
Varsova Layout,1088,2.0,43.5,2.0
Harlur,1174,2.0,78.0,2.0
Raja Rajeshwari Nagar,1587,3.0,73.8,3.0
Kaggadasapura,1045,2.0,55.0,2.0
Yelahanka,1304,2.0,69.97,2.0
Whitefield,1100,2.0,65.0,2.0
Hennur Road,1482,2.0,68.9,3.0
Devanahalli,2125,3.0,107.0,3.0
Varthur,1000,4.0,65.0,5.0
Parappana Agrahara,1194,2.0,45.0,2.0
Kengeri,1200,2.0,42.0,2.0
Volagerekallahalli,1070,2.0,32.99,2.0
Whitefield,1100,2.0,46.5,2.0
Whitefield,1270,2.0,65.0,3.0
Marasandra,1000,2.0,31.0,2.0
Vittasandra,1246,2.0,69.0,2.0
Raja Rajeshwari Nagar,1529,3.0,51.77,3.0
Thanisandra,1185,2.0,42.0,2.0
Gubbalala,1060,2.0,46.0,2.0
Ananth Nagar,1319,3.0,37.75,3.0
Kaikondrahalli,991,2.0,64.0,2.0
Thanisandra,662,1.0,38.0,1.0
Nandini Layout,1200,2.0,110.0,2.0
tc.palya,1400,2.0,78.0,3.0
Talaghattapura,1575,3.0,80.0,3.0
Hosakerehalli,600,2.0,65.0,2.0
Electronic City,717,5.0,78.0,5.0
Ananth Nagar,1319,3.0,42.0,3.0
Brookefield,2000,3.0,300.0,3.0
9th Phase JP Nagar,600,3.0,85.0,3.0
Electronics City Phase 1,940,2.0,48.0,2.0
Singasandra,600,1.0,45.0,1.0
Chandapura,985,2.0,25.12,2.0
Kodigehalli,500,1.0,55.0,2.0
Bharathi Nagar,1349,2.0,56.7,2.0
Whitefield,3117,3.0,261.0,3.0
HSR Layout,1844,3.0,95.0,3.0
Thigalarapalya,1830,4.0,150.0,3.0
Sarjapur  Road,2275,4.0,185.0,3.0
Bannerghatta,1791 - 4000,,246.0,4.0
Varthur Road,1140,2.0,49.11,2.0
Banjara Layout,900,3.0,79.0,3.0
Jaya Mahal layout,2648,3.0,238.0,3.0
Judicial Layout,5400,4.0,700.0,5.0
Banashankari,1372,2.0,48.02,3.0
Sanne Amanikere,1455,2.0,45.0,3.0
Hebbal,1100,2.0,38.0,2.0
Raja Rajeshwari Nagar,1295,2.0,55.47,2.0
Vajarahalli,1475,3.0,80.0,3.0
Nagavarapalya,1788,3.0,164.0,3.0
Haralur Road,1243,2.0,46.0,2.0
Yeshwanthpur,1855,3.0,140.0,3.0
Kudlu Gate,1850,3.0,120.0,3.0
Marathahalli,1315,2.0,60.0,3.0
Whitefield,1216,2.0,73.0,2.0
Brooke Bond First Cross,1721,3.0,93.0,3.0
Sonnenahalli,1059,2.0,62.0,2.0
Kadubeesanahalli,1184,2.0,55.0,2.0
Yelahanka,1400,5.0,175.0,7.0
Koramangala,2223,3.0,300.0,3.0
Kodbisanhalli,1480,3.0,75.0,3.0
Kodigehalli,635,1.0,28.0,2.0
BEML Layout,2400,2.0,228.0,2.0
JP Nagar,1500,2.0,87.0,4.0
Hosa Road,1143,2.0,34.2,2.0
Sarjapur  Road,3200,4.0,350.0,4.0
Kanakpura Road,3170,4.0,250.0,4.0
Vaishnavi Layout,4800,4.0,420.0,4.0
Kothannur,1485,2.0,59.4,3.0
Rajaji Nagar,1640,3.0,251.0,3.0
Hennur,1655,2.0,70.5,3.0
2nd Phase Judicial Layout,900,2.0,41.0,2.0
Somasundara Palya,1600,3.0,69.0,3.0
Neelamangala,1163,2.0,68.0,2.0
Yelahanka New Town,45.06Sq. Meter,2.0,18.0,1.0
Hennur Road,1654,3.0,97.8,3.0
Pragathi Nagar,799 - 803,1.0,33.645,1.0
Ngef Layout,2100,3.0,1000.0,4.0
Bellandur,1685,3.0,101.0,3.0
Banashankari,1540,3.0,80.0,3.0
Thanisandra,1265,2.0,72.0,2.0
Kasavanhalli,1200,2.0,38.4,3.0
Amblipura,1300,2.0,80.0,3.0
Sultan Palaya,1009,2.0,65.0,2.0
Ramamurthy Nagar Extension,1540,3.0,65.0,3.0
Bellandur,1735,3.0,105.0,3.0
HSR Layout,2500,4.0,300.0,4.0
Marsur,497,1.0,20.0,2.0
Hosakerehalli,2480,4.0,265.0,3.0
Electronic City,1142,2.0,35.0,2.0
Doctors Layout,1215,2.0,46.8,3.0
Electronic City,1070,2.0,48.0,2.0
Electronic City Phase II,1125,2.0,32.49,2.0
Bommasandra Industrial Area,1125,2.0,32.49,2.0
Kasavanhalli,1575,2.0,85.0,2.0
Hosa Road,1360,2.0,77.61,2.0
Haralur Road,1710,3.0,85.0,3.0
Electronic City Phase II,1200,2.0,34.65,2.0
Bannerghatta Road,2185,3.0,120.0,4.0
Bagalur,2400,4.0,135.0,4.0
Banashankari,1195,2.0,35.84,2.0
Vittasandra,1246,2.0,67.0,2.0
Bannerghatta Road,1012,2.0,45.0,2.0
Ganga Nagar,998,2.0,65.0,2.0
Doddaballapur,2400,3.0,250.0,3.0
7th Phase JP Nagar,1130,2.0,85.0,2.0
Koramangala,1744,4.0,210.0,3.0
Rajaji Nagar,2733,5.0,259.0,4.0
Karuna Nagar,1354,2.0,98.0,3.0
Maruthi Nagar,3300,9.0,450.0,10.0
Brookefield,1389,2.0,94.0,2.0
Sarjapur,2970,3.0,130.0,4.0
Cooke Town,2560,4.0,310.0,3.0
Lakshminarayana Pura,1172,2.0,75.0,2.0
5th Block Jayanagar,500,2.0,75.0,3.0
Kaggadasapura,1495,3.0,60.0,3.0
Varthur,1738,2.0,57.35,2.0
Dodda Nekkundi,1315,2.0,50.0,2.0
Marathahalli,1270,2.0,73.0,2.0
Electronic City Phase II,1160,2.0,52.2,2.0
Raja Rajeshwari Nagar,1450,2.0,67.0,3.0
Rayasandra,470,1.0,21.0,1.0
2nd Phase JP Nagar,1040,2.0,78.0,2.0
Sarjapur,1205,2.0,29.0,2.0
KSRTC Layout,1215,2.0,50.0,3.0
Whitefield,1135,2.0,58.0,2.0
8th Phase JP Nagar,1224,2.0,48.95,3.0
Budigere,664,1.0,34.0,1.0
Electronic City,1160,2.0,42.0,3.0
Babusapalaya,1200,2.0,105.0,2.0
Bommasandra Industrial Area,1220,2.0,35.2,3.0
Bharathi Nagar,1328,2.0,69.0,2.0
BSM Extension,975,2.0,45.0,2.0
Ambedkar Colony,1907,2.0,200.0,3.0
Malleshwaram,900,2.0,72.0,2.0
Banashankari 6th Stage,1330,2.0,80.0,2.0
Rajiv Nagar,2330,5.0,175.0,4.0
Munnekollal,1222,3.0,95.0,3.0
Dodsworth Layout,4446,3.0,410.0,3.0
Sarjapur  Road,2100,3.0,135.0,3.0
Sarjapur  Road,3335,4.0,290.0,4.0
Whitefield,3150,3.0,290.0,3.0
Jnana Ganga Nagar,1320,2.0,95.0,3.0
9th Phase JP Nagar,820,7.0,140.0,7.0
Shetty Halli,8000,5.0,550.0,5.0
Hennur Road,2400,5.0,500.0,4.0
Uttarahalli,1330,2.0,46.55,3.0
Hosur Road,2000,4.0,130.0,4.0
Electronic City Phase II,1244,2.0,55.0,2.0
Konena Agrahara,1000,2.0,50.0,2.0
Gunjur Palya,1400,3.0,45.0,3.0
Vignana Nagar,1000,2.0,35.0,2.0
Rajaji Nagar,1056,1.0,250.0,2.0
Uttarahalli,1250,2.0,50.0,3.0
Hebbal,2470 - 2790,5.0,188.0,4.0
Jeevan bima nagar,1225,2.0,48.0,2.0
Hebbal,2790,5.0,198.0,4.0
Indira Nagar,2800,4.0,365.0,4.0
Seegehalli,1683,3.0,80.0,3.0
Yelahanka,1250,2.0,54.0,2.0
Hennur Road,1305,2.0,110.0,3.0
Sarjapur  Road,3009,3.0,331.0,3.0
Kaggalipura,1150,2.0,57.5,3.0
Kaggadasapura,1654,3.0,70.0,3.0
Munivenkatppa Layout,4500,3.0,225.0,4.0
Kadugodi,1890,4.0,125.0,3.0
Kasavanhalli,1069,2.0,55.0,2.0
Chandapura,750,1.0,18.5,2.0
Banashankari,675,4.0,140.0,4.0
Hormavu,2400,3.0,177.0,3.0
2nd Stage Nagarbhavi,1200,4.0,240.0,5.0
Koramangala,1410,2.0,280.0,4.0
7th Phase JP Nagar,1680,3.0,130.0,3.0
Sadanand Nagar,3500,4.0,500.0,3.0
Sarjapur  Road,1700,3.0,93.5,3.0
Brindavan Layout,2200,2.0,150.0,4.0
Thanisandra,1595,3.0,105.0,3.0
Hennur Road,1480,3.0,100.0,3.0
Bethel Nagar,1092,3.0,95.0,3.0
Koramangala,1866,4.0,245.0,3.0
Hebbal,3895,3.0,390.0,3.0
Banashankari,1683,3.0,115.0,3.0
Dasanapura,545,2.0,22.34,2.0
Banaswadi,1340,2.0,73.0,2.0
"Judicial Layout, Kanakapura Road, ",1100,3.0,53.0,3.0
Akshaya Nagar,2000,1.0,200.0,1.0
Whitefield,1185,2.0,56.0,2.0
Chandapura,1025,2.0,27.68,2.0
Haralur Road,1730,3.0,95.0,3.0
Hennur Road,1450,3.0,88.6,3.0
Sarjapur  Road,1862,4.0,110.0,3.0
Sarjapur  Road,4000,5.0,578.0,4.0
Old Madras Road,2430,5.0,180.0,3.0
Hoodi,783 - 943,1.0,40.55,1.0
Chambenahalli,1170,2.0,50.0,2.0
B Narayanapura,1075,2.0,50.0,2.0
Kodichikkanahalli,1060,2.0,34.0,2.0
Sarjapur,850,2.0,32.0,2.0
P&T Layout,935,2.0,45.9,2.0
Gollarapalya Hosahalli,1905,3.0,86.0,4.0
8th Block Jayanagar,2000,6.0,300.0,6.0
Uttarahalli,1125,2.0,47.0,2.0
9th Phase JP Nagar,600,6.0,75.0,6.0
Chikkabanavar,1500,4.0,105.0,4.0
Bannerghatta Road,1725,3.0,85.0,3.0
Dodda Banaswadi,1120,2.0,36.0,2.0
Brookefield,1750,2.0,75.0,3.0
7th Phase JP Nagar,2000,3.0,77.0,3.0
Koramangala,1745,3.0,98.0,3.0
Bagalakunte,750,3.0,95.0,5.0
Uttarahalli,1270,2.0,55.25,3.0
Iblur Village,5384,5.0,420.0,5.0
Sahakara Nagar,1180,2.0,72.0,2.0
Shanti Nagar,1130,2.0,75.0,2.0
Old Airport Road,2774,4.0,197.0,4.0
Ardendale,1723,3.0,95.0,3.0
Mysore Road,1175,2.0,70.5,2.0
Ambalipura,1607,2.0,112.0,3.0
Varanasi,1334,2.0,62.0,2.0
Vishwapriya Layout,2800,5.0,130.0,5.0
Bellandur,1138,3.0,128.0,3.0
Bannerghatta,1113,2.0,70.0,2.0
9th Phase JP Nagar,1300,2.0,58.0,3.0
Judicial Layout,2400,4.0,350.0,4.0
Sahakara Nagar,1200,2.0,60.0,2.0
cooketown,1900,3.0,190.0,3.0
Jakkur,5150,4.0,559.0,4.0
2nd Stage Nagarbhavi,1200,5.0,290.0,5.0
Whitefield,2956,5.0,234.0,4.0
Begur Road,1100,5.0,165.0,5.0
Panathur,1398,2.0,97.0,2.0
Margondanahalli,1152,1.0,66.0,2.0
Rajarajeshwarinagar,1200,5.0,325.0,4.0
Nagavara,1110,2.0,44.95,2.0
 Devarachikkanahalli,1116,2.0,47.0,2.0
Babusapalaya,1061,2.0,33.84,2.0
Malleshwaram,620,1.0,86.8,1.0
7th Phase JP Nagar,1300,2.0,52.0,3.0
Yelahanka,1270,2.0,57.0,2.0
Peenya,966,2.0,50.0,2.0
AMS Layout,1200,4.0,110.0,4.0
Kodigehalli,1320,4.0,249.0,4.0
Iblur Village,3596,5.0,297.0,4.0
Kathriguppe IV Phase,1630,3.0,131.0,3.0
Kodipalya,600,6.0,72.0,5.0
Ramchandrapuram,600,4.0,60.0,4.0
Amruthahalli,1202,2.0,65.0,2.0
Pampa Extension,1200,4.0,250.0,4.0
Jakkur,1300,2.0,80.0,2.0
Uttarahalli,1200,6.0,330.0,6.0
Electronic City,1360,2.0,70.0,3.0
Hennur Road,1155,2.0,69.18,2.0
Hosakerehalli,2378,3.0,310.0,3.0
Hulimavu,1011,2.0,38.0,2.0
HSR Layout,1203,2.0,72.0,2.0
Hebbal,1645,3.0,113.0,3.0
Horamavu Agara,1364,2.0,50.0,3.0
Anekal,1200,1.0,36.0,2.0
KR Layout,1050,2.0,41.0,1.0
Kothanur,1365,3.0,66.0,3.0
Jigani,1252,3.0,70.0,3.0
Jigani,1221,3.0,65.0,3.0
Panathur,1065,2.0,58.0,2.0
Uttarahalli,1270,2.0,55.25,3.0
Sahakara Nagar,1032,2.0,45.0,2.0
Frazer Town,2900,4.0,325.0,4.0
Sector 2 HSR Layout,1515,2.0,69.0,3.0
Akshaya Vana,1427,2.0,52.0,2.0
Magadi Road,940,2.0,50.0,2.0
Medahalli,800,5.0,95.0,5.0
Bannerghatta Road,1460,2.0,80.0,3.0
Sarjapur  Road,2275,4.0,175.0,3.0
9th Phase JP Nagar,1522,3.0,90.0,3.0
Basaveshwara Nagar Yelahanka,3210,4.0,380.0,3.0
Thanisandra,1185,2.0,42.67,2.0
1Hoysalanagar,5425,13.0,275.0,13.0
Banashankari,1800,3.0,125.0,3.0
Electronics City Phase 1,940,2.0,44.0,2.0
Andrahalli,1200,4.0,135.0,4.0
Marathahalli,1530,3.0,71.0,3.0
Gollahalli,1050,2.0,48.0,2.0
Subramanyapura,929,2.0,49.0,2.0
Banjara Layout,3750,5.0,145.0,4.0
Whitefield,1530,3.0,75.0,3.0
PC Palaya,900,2.0,48.0,2.0
Vasanthapura,978,2.0,34.22,2.0
Sathya Sai Layout,4041,4.0,345.0,4.0
Ambalipura,770,1.0,43.82,1.0
Kaval Byrasandra,1066,2.0,55.0,2.0
Electronic City,635,1.0,28.0,1.0
Whitefield,1015,2.0,45.0,2.0
Hebbal,1175,2.0,54.05,2.0
Chikkabanavar,1200,4.0,130.0,4.0
Vidyaranyapura,1188,2.0,50.0,2.0
Indira Nagar,2400,5.0,700.0,5.0
Soppahalli,620,1.0,25.0,1.0
Ejipura,1210,2.0,75.0,2.0
Attibele,1000,3.0,90.0,3.0
Rajaji Nagar,1500,2.0,99.0,3.0
Electronic City,1800,3.0,190.0,4.0
Thanisandra,1185,2.0,43.66,2.0
Basavangudi,1600,3.0,130.0,3.0
Gottigere,1100,2.0,28.0,2.0
Yelahanka,1300,2.0,69.23,2.0
Kasavanhalli,1100,2.0,68.0,2.0
Ambalipura,860,2.0,28.93,2.0
Panathur,1007,2.0,64.0,2.0
Akshaya Nagar,1100,2.0,48.0,2.0
Whitefield,1187,2.0,38.0,2.0
R.T. Nagar,1150,2.0,72.0,2.0
Nagavara,2400,3.0,252.0,3.0
Aavalahalli,1180,2.0,41.94,2.0
Budigere,1820,3.0,85.2,3.0
Hennur Bande,1200,6.0,180.0,6.0
Sector 1 HSR Layout,2400,6.0,775.0,3.0
KR Puram,3628,4.0,246.0,4.0
Kodbisanhalli,1430,3.0,70.0,3.0
Kanakpura Road,700,2.0,40.0,2.0
Kattigenahalli,1200,1.0,70.0,2.0
Old Madras Road,1165,2.0,40.77,2.0
Jalahalli,1569,3.0,118.0,3.0
Basaveshwara Nagar Yelahanka,1950,4.0,95.0,3.0
Jayanti Nagar,1200,3.0,70.0,2.0
Yelahanka New Town,2437,3.0,125.0,3.0
Marathahalli,950,2.0,46.7,2.0
Bellandur,1685,3.0,115.0,3.0
Green Glen Layout,3270,4.0,205.0,4.0
Sarjapur  Road,1314,2.0,110.0,2.0
New Gurappana Palya,1250,3.0,40.0,3.0
Virudhu Nagar,1130,2.0,68.0,2.0
Doddakannelli,1200,9.0,122.0,6.0
Sultan Palaya,890,5.0,160.0,6.0
kamanahalli main road,857,3.0,95.0,3.0
Whitefield,2247,3.0,145.0,3.0
Marathahalli,1550,3.0,85.0,3.0
Hoodi,1715,2.0,100.0,3.0
Hennur Road,1053,2.0,53.0,2.0
Begur Road,1200,3.0,50.0,3.0
HBR Layout,1800,2.0,230.0,3.0
Chikkabanavar,2400,4.0,97.0,5.0
Kodbisanhalli,1245,1.0,60.0,2.0
Koramangala,1320,2.0,160.0,2.0
Whitefield,3940,5.0,265.0,4.0
Thanisandra,1241,2.0,65.0,3.0
7th Phase JP Nagar,2980,4.0,260.0,3.0
7th Block Koramangala,600,5.0,130.0,6.0
Raja Rajeshwari Nagar,1090,2.0,57.0,2.0
Byrasandra,1390,2.0,50.0,3.0
Sampangi Rama Nagar,600,4.0,175.0,8.0
Jakkur Plantation,2750,5.0,275.0,3.0
Kanakpura Road,1100,2.0,52.97,3.0
Koramangala,1350,2.0,103.0,2.0
Prakash Nagar,800,2.0,55.0,2.0
Sarjapur  Road,1787,3.0,116.0,3.0
BTM Layout,2400,3.0,220.0,3.0
Haralur Road,3700,4.0,325.0,4.0
Sarjapur  Road,1691,3.0,93.01,3.0
Bhoganhalli,2119,4.0,111.0,4.0
Chikka Tirupathi,2325,3.0,95.0,3.0
Thyagaraja Nagar,570,5.0,80.0,5.0
Akshaya Nagar,1896,3.0,102.0,3.0
Banashankari Stage V,1540,3.0,48.51,3.0
Cambridge Layout,1244,2.0,95.0,2.0
Hormavu,1365,2.0,65.0,3.0
Thanisandra,580,1.0,27.5,1.0
Hebbal,1355,3.0,83.87,3.0
Bharat Nagar,1500,4.0,180.0,3.0
8th Phase JP Nagar,1513,2.0,62.0,2.0
Banashankari,1175,2.0,41.13,2.0
Thanisandra,2087,4.0,139.0,3.0
Talaghattapura,2273,3.0,145.0,3.0
Thanisandra,2050,3.0,150.0,3.0
Garebhavipalya,1200,2.0,75.0,2.0
Whitefield,1190,2.0,59.0,2.0
Kodigehalli,600,3.0,85.0,4.0
Marathahalli,1019,2.0,49.86,2.0
Thigalarapalya,1830,3.0,133.0,3.0
Channasandra,4278,7.0,299.0,7.0
Sarjapur  Road,1028,2.0,56.0,2.0
Old Madras Road,1300,2.0,100.0,2.0
Whitefield,1160,2.0,67.0,2.0
Mahadevpura,1505,3.0,78.0,3.0
Kogilu,1250,2.0,55.55,2.0
Ramchandrapuram,400,2.0,50.0,1.0
Sarjapur,1175,2.0,41.68,2.0
Janatha Colony,1100,2.0,57.6,2.0
Vishwanatha Nagenahalli,2159,3.0,120.0,3.0
Devanahalli,1230,2.0,56.45,2.0
Gkvk Layout,1200,4.0,180.0,3.0
Channasandra Layout,3100,6.0,165.0,5.0
Old Madras Road,4500 - 5540,7.0,287.0,5.0
Hegganahalli,1200,1.0,48.0,1.0
Dodsworth Layout,1340,2.0,71.0,2.0
Banashankari,1750,2.0,89.0,3.0
Banashankari Stage II,1400,2.0,100.0,2.0
Nagarbhavi,1350,3.0,60.0,3.0
RMV Extension,1675,3.0,62.0,3.0
Thanisandra,1340,2.0,66.33,2.0
Malleshwaram,600,1.0,68.0,2.0
Hulimavu,1276,2.0,76.0,2.0
Ramagondanahalli,1738,2.0,76.0,3.0
"Hoodi Circle, ",1190,2.0,59.9,2.0
Electronic City,1128,2.0,65.45,2.0
Veersandra,1250,2.0,55.0,2.0
ITI Layout,1450,2.0,90.0,2.0
Kudlu,1084,2.0,53.0,2.0
Kaggadasapura,2150,4.0,90.0,4.0
Koramangala,6000,4.0,625.0,4.0
Nagarbhavi,600,3.0,77.0,4.0
Hosur Road,1250,2.0,65.0,2.0
Seegehalli,2400,4.0,240.0,3.0
Begur,1304,3.0,65.0,3.0
Rajaji Nagar,1640,3.0,268.0,3.0
7th Phase JP Nagar,980,2.0,77.44,2.0
Ramanashree Enclave,1275,2.0,49.5,2.0
"Yelahanka,MVIT college",10030,1.0,150.0,1.0
Banjara Layout,2500,4.0,140.0,3.0
Bidadi,3600,4.0,225.0,4.0
Anekal,2400,4.0,95.0,3.0
Chikku Lakshmaiah Layout,2300,3.0,280.0,3.0
Kanakpura Road,1450,2.0,70.18,3.0
Electronic City,890,2.0,40.0,2.0
Bannerghatta Road,1340,2.0,85.0,2.0
Vidyaranyapura,1100,2.0,75.0,3.0
Kengeri,750,2.0,40.0,2.0
Basaveshwara Nagar,700,4.0,125.0,4.0
Akshaya Nagar,1300,2.0,66.0,2.0
HRBR Layout,1301,2.0,120.0,2.0
Gnana Bharathi,3200,8.0,130.0,9.0
Pillahalli,1900,2.0,92.0,3.0
Kanakpura Road,1299,2.0,105.0,2.0
Anugrah Layout,1250,3.0,40.0,3.0
Whitefield,1600,4.0,300.0,4.0
Kalkere,925,2.0,55.0,2.0
Meenakunte,3900,3.0,250.0,3.0
Uttarahalli,1107,2.0,45.0,2.0
Ramesh Nagar,1400,2.0,160.0,2.0
Electronics City Phase 1,1300,2.0,67.0,2.0
Yeshwanthpur,570,2.0,62.0,2.0
Hiremath Layout,1715,3.0,95.0,3.0
Uttarahalli,1200,2.0,55.0,2.0
9th Block Jayanagar,1200,5.0,280.0,6.0
Ashok Nagar,703,2.0,60.0,2.0
Talaghattapura,921,2.0,29.47,2.0
Marathahalli,1144,2.0,65.0,2.0
Kanakpura Road,525,1.0,26.01,1.0
Suddaguntepalya,1400,2.0,56.0,3.0
Balagere,661,1.0,33.0,1.0
Upkar Layout,1200,6.0,160.0,6.0
Kengeri Satellite Town,1200,5.0,70.0,5.0
Yelahanka,1705,3.0,91.0,3.0
Anjana Nagar,1035,5.0,170.0,5.0
Kadugodi,1430,2.0,55.0,3.0
Marathahalli,1240,2.0,55.0,2.0
Garudachar Palya,1325,2.0,60.8,3.0
Thanisandra,1230,2.0,44.0,2.0
Electronics City Phase 1,1000,2.0,28.0,2.0
Gollarahatti,740,2.0,24.5,4.0
Uttarahalli,1330,2.0,46.45,3.0
Sarjapur  Road,3005,5.0,275.0,4.0
Shivaji Nagar,1300,3.0,170.0,3.0
Haralur Road,1243,2.0,46.0,2.0
Kengeri Satellite Town,936,2.0,60.84,4.0
Banashankari Stage III,1500,2.0,100.0,3.0
Kodigehalli,1200,4.0,156.0,3.0
Cox Town,1073,2.0,72.0,2.0
Kudlu,1300,2.0,56.0,2.0
Sarjapur,4201,4.0,435.0,4.0
Electronic City,1065,2.0,30.75,2.0
Whitefield,1216,2.0,66.88,2.0
Jigani,1252,3.0,59.0,3.0
Hormavu,1196,2.0,44.8,2.0
Kudlu,1027,2.0,44.0,2.0
Padmanabhanagar,610,2.0,75.0,3.0
Poornapragna Housing Society Layout,1270,2.0,57.15,3.0
Mico Layout,1171,2.0,39.0,2.0
Kothannur,1215,2.0,48.6,3.0
Venkateswara Nagar,600,1.0,20.0,1.0
Whitefield,1180,2.0,77.0,2.0
Electronic City Phase II,1160,2.0,33.51,2.0
Chikkagubbi,4382,4.0,400.0,4.0
Whitefield,2140,3.0,139.0,3.0
Yeshwanthpur,1500,3.0,100.0,3.0
Banaswadi,1008,2.0,52.0,2.0
Ambedkar Nagar,1921,4.0,129.0,3.0
Electronic City,1127,2.0,32.0,2.0
Rajaji Nagar,1621,3.0,124.0,3.0
Poornapragna Housing Society Layout,2400,3.0,360.0,3.0
Banashankari 2 nd Stage,1030,2.0,77.25,3.0
Whitefield,1314,2.0,84.0,2.0
Choodasandra,1220,3.0,56.0,3.0
Banashankari Stage VI,600,3.0,97.0,4.0
JP Nagar,1590,2.0,85.0,3.0
Shivaji Nagar,703,2.0,49.5,2.0
Hosakerehalli,1795,3.0,64.62,3.0
Gottigere,3000,3.0,132.0,4.0
Sarjapur  Road,4395,4.0,242.0,4.0
Electronic City,825,2.0,35.0,2.0
Yelahanka,4025,6.0,350.0,4.0
Vajarahalli,1254,2.0,70.0,3.0
Ramagondanahalli,2040,3.0,114.0,3.0
Thigalarapalya,2215,4.0,154.0,3.0
Jalahalli,1478,2.0,125.0,2.0
Malleshwaram,2475,4.0,337.0,3.0
Cambridge Layout,1669,3.0,298.0,3.0
Nagappa Reddy Layout,1820,3.0,79.5,3.0
Horamavu Agara,1623,3.0,89.0,3.0
Haralur Road,1243,2.0,46.0,2.0
Electronic City,1200,2.0,40.5,2.0
Gottigere,1613,3.0,72.0,3.0
Rajiv Gandhi Nagar,1293,2.0,80.0,2.0
Hoskote,1065,2.0,28.5,2.0
Kudlu Gate,940,2.0,69.57,2.0
Sarjapur  Road,1181,2.0,65.0,3.0
Malleshwaram,2215,3.0,275.0,3.0
Marathahalli,1100,2.0,75.0,1.0
MLA Layout,1050,2.0,36.0,2.0
Subramanyapura,1260,2.0,75.0,3.0
Banashankari Stage II,2800,3.0,425.0,5.0
Dodda Banaswadi,1500,3.0,56.0,3.0
KR Puram,1200,6.0,132.0,6.0
Esther Enclave Layout,1000,2.0,66.0,2.0
Whitefield,1530,3.0,73.0,3.0
HSR Layout,1140,2.0,46.0,2.0
Dodda Nekkundi Extension,1864,3.0,115.0,3.0
Sarjapur,1575,3.0,55.0,3.0
Attibele,1200,3.0,105.0,3.0
Raja Rajeshwari Nagar,945,2.0,45.0,2.0
Sarjapur  Road,1691,3.0,100.0,3.0
KR Garden,1200,2.0,135.0,2.0
Electronic City Phase II,1220,3.0,35.25,3.0
Kengeri,600,1.0,35.0,1.0
Whitefield,1160,2.0,39.0,2.0
Dodda Nekkundi Extension,1950,2.0,89.5,3.0
Vittasandra,1650,3.0,85.0,3.0
Annapurneshwari Nagar,2400,4.0,150.0,4.0
Abbigere,795,1.0,32.6,2.0
Raghavendra Nagar,800,5.0,95.0,5.0
TC Palaya,1400,5.0,97.0,5.0
Kalyan nagar,2285,4.0,165.0,3.0
Haralur Road,1243,2.0,46.0,2.0
Kammagondahalli,1263,2.0,51.5,2.0
Nanjappa Layout Vidyaranyapura,1200,4.0,115.0,5.0
Hennur,1345,2.0,69.0,3.0
D Group Employees Layout,4400,5.0,240.0,5.0
Electronic City,1360,2.0,58.0,3.0
Sarjapur  Road,1026,2.0,60.55,2.0
Alfa Garden Layout,1050,2.0,38.0,2.0
Uttarahalli,1460,3.0,76.0,3.0
Banagiri Nagar,1525,2.0,91.48,3.0
Kanakpura Road,1843,3.0,85.0,3.0
Ananth Nagar,1000,2.0,25.0,2.0
Koramangala,1642,2.0,115.0,3.0
TC Palaya,1200,2.0,66.0,3.0
Austin Town,975,2.0,60.0,2.0
Bisuvanahalli,1075,2.0,44.0,3.0
Panathur,1210,2.0,77.93,2.0
Rammana Layout,2000,3.0,100.0,3.0
Akshaya Nagar,1225,2.0,68.0,2.0
Jakkur,1290,2.0,80.04,2.0
Remco Bhel Layout,1220,2.0,56.0,2.0
A Narayanapura,1500,2.0,85.0,1.0
Kaggadasapura,1361,2.0,79.0,2.0
Frazer Town,2801.25,4.0,462.0,5.0
1st Phase JP Nagar,1394,2.0,85.0,2.0
Yelahanka,870,2.0,27.0,2.0
Marasandra,5000,5.0,300.0,4.0
Rajaji Nagar,1222,2.0,98.0,2.0
Hebbal,1420,2.0,99.39,2.0
Bellandur,1846,3.0,135.0,3.0
Benson Town,1688.12,2.0,270.0,2.0
Yeshwanthpur,1167,2.0,64.08,2.0
Ananth Nagar,902,2.0,25.0,2.0
Kannamangala,2422,4.0,135.0,4.0
Rachenahalli,1050,2.0,52.5,2.0
Rajapura,1000,2.0,50.0,2.0
Kundalahalli,1260,2.0,58.0,2.0
Banashankari Stage II,3000,3.0,450.0,3.0
Jigani,939,2.0,39.0,2.0
Konanakunte,1590,6.0,150.0,9.0
Jalahalli,600,1.0,37.0,1.0
8th Phase JP Nagar,1298,2.0,59.0,2.0
Marathahalli,1710,3.0,135.0,3.0
Subramanyapura,1000,2.0,45.0,2.0
Ramagondanahalli,3350,3.0,150.0,3.0
Bagalakunte,1200,4.0,138.0,2.0
RPC layout,1100,2.0,68.0,2.0
Jalahalli,615,1.0,46.0,1.0
Sarjapur  Road,1350,2.0,85.0,2.0
Sultan Palaya,5000,5.0,325.0,4.0
Cunningham Road,2700,3.0,501.0,3.0
Vijaya Bank Layout,4000,6.0,460.0,6.0
Hegde Nagar,1718,3.0,130.0,3.0
7th Phase JP Nagar,1680,3.0,112.0,3.0
Hulimavu,1500,2.0,90.0,2.0
Sarjapur  Road,1157,2.0,72.0,3.0
Akshaya Nagar,1179,2.0,51.0,2.0
Hulimavu,1255 - 1375,2.0,60.48,2.0
